ID do teste,Nº trial,Tamanho,Estado atual,Estado final,Passos,Reinício,Tentativas,Pontuação,Abs(ms),Trial(ms),Click(ms),Sucesso,MinMov,Acum,ID do teste,Nº trial,Tamanho,Estado atual,Estado final,Passos,Reinício,Tentativas,Pontuação,Abs(ms),Trial(ms),Click(ms),Sucesso,MinMov,Acum,ID do teste,Nº trial,Tamanho,Estado atual,Estado final,Passos,Reinício,Tentativas,Pontuação,Abs(ms),Trial(ms),Click(ms),Sucesso,MinMov,Acum
sub,trial,size,T0_current,T0_end,T0_step,T0_reset,T0_tries,T0_score,T0_abstime,T0_trialtime,T0_clicktime,T0_done,T0_movimentos_minimos,T0_pontuacao_acumulada,sub_test1,trial_test1,size_test1,T1_current,T1_end,T1_step,T1_reset,T1_tries,T1_score,T1_abstime,T1_trialtime,T1_clicktime,T1_done,T1_movimentos_minimos,T1_pontuacao_acumulada,sub_test2,trial_test2,size_test2,T2_current,T2_end,T2_step,T2_reset,T2_tries,T2_score,T2_abstime,T2_trialtime,T2_clicktime,T2_done,T2_movimentos_minimos,T2_pontuacao_acumulada
T0_4578_tol,1,3,|31|2||,|2||31|,0,0,1,0,25221,0,0,0,0,0,T1_4578_tol,1,3,|||321|,|2|1|3|,0,0,1,0,6301,0,0,0,0,0,T2_4578_tol,1,3,|2|3|1|,|3||21|,0,0,1,0,6102,0,0,0,0,0
T0_4578_tol,1,3,|3|21||,|2||31|,1,0,1,0,34888,9667,9667,0,0,0,T1_4578_tol,1,3,||1|32|,|2|1|3|,1,0,1,0,9362,3061,3061,0,0,0,T2_4578_tol,1,3,||3|12|,|3||21|,1,0,1,0,14507,8405,8405,0,0,0
T0_4578_tol,1,3,||21|3|,|2||31|,2,0,1,0,36885,11664,1997,0,0,0,T1_4578_tol,1,3,|2|1|3|,|2|1|3|,2,0,1,3,10596,4295,1234,1,2,10,T2_4578_tol,1,3,|3||12|,|3||21|,2,0,1,0,16399,10297,1892,0,0,0
T0_4578_tol,1,3,||2|31|,|2||31|,3,0,1,0,38635,13414,1750,0,0,0,T1_4578_tol,2,3,||23|1|,|1|32||,0,0,1,3,11684,0,0,0,0,10,T2_4578_tol,1,3,|3|2|1|,|3||21|,3,0,1,0,20584,14482,4185,0,0,0
T0_4578_tol,1,3,|2||31|,|2||31|,4,0,1,3,39643,14422,1008,1,4,10,T1_4578_tol,2,3,|1|23||,|1|32||,1,0,1,3,17461,5777,5777,0,0,10,T2_4578_tol,1,3,|31|2||,|3||21|,4,0,1,0,22923,16821,2339,0,0,0
T0_4578_tol,2,3,|2|3|1|,||2|31|,0,0,1,3,42229,0,0,0,0,10,T1_4578_tol,2,3,|13|2||,|1|32||,2,0,1,3,23340,11656,5879,0,0,10,T2_4578_tol,1,3,|31||2|,|3||21|,5,0,1,0,24276,18174,1353,0,0,0
T0_4578_tol,2,3,|2|31||,||2|31|,1,0,1,3,45345,3116,3116,0,0,10,T1_4578_tol,2,3,|13||2|,|1|32||,3,0,1,3,24410,12726,1070,0,0,10,T2_4578_tol,1,3,|3||21|,|3||21|,6,0,1,3,25966,19864,1690,1,4,8
T0_4578_tol,2,3,|2|3|1|,||2|31|,2,0,1,3,48497,6268,3152,0,0,10,T1_4578_tol,2,3,|1|3|2|,|1|32||,4,0,1,3,25337,13653,927,0,0,10,T2_4578_tol,2,3,|1||23|,|1|3|2|,0,0,1,3,26783,0,0,0,0,8
T0_4578_tol,2,3,|2||13|,||2|31|,3,0,1,3,51453,9224,2956,0,0,10,T1_4578_tol,2,3,|1|32||,|1|32||,5,0,1,6,26155,14471,818,1,5,20,T2_4578_tol,2,3,|1|3|2|,|1|3|2|,1,0,1,6,29233,2450,2450,1,1,18
T0_4578_tol,2,3,||2|13|,||2|31|,4,0,1,3,52490,10261,1037,0,0,10,T1_4578_tol,3,3,|21|3||,||312||,0,0,1,6,27204,0,0,0,0,20,T2_4578_tol,3,3,|2|13||,|2||13|,0,0,1,6,30189,0,0,0,0,18
T0_4578_tol,2,3,|3|2|1|,||2|31|,5,0,1,3,54116,11887,1626,0,0,10,T1_4578_tol,3,3,|2|31||,||312||,1,0,1,6,30404,3200,3200,0,0,20,T2_4578_tol,3,3,|23|1||,|2||13|,1,0,1,6,33238,3049,3049,0,0,18
T0_4578_tol,2,3,|31|2||,||2|31|,6,0,1,3,55377,13148,1261,0,0,10,T1_4578_tol,3,3,||312||,||312||,2,0,1,9,31202,3998,798,1,2,30,T2_4578_tol,3,3,|23||1|,|2||13|,2,0,1,6,34053,3864,815,0,0,18
T0_4578_tol,2,3,|3|21||,||2|31|,7,0,1,3,57833,15604,2456,0,0,10,T1_4578_tol,4,3,|1|32||,|12|3||,0,0,1,9,31934,0,0,0,0,30,T2_4578_tol,3,3,|2||13|,|2||13|,3,0,1,9,35275,5086,1222,1,3,28
T0_4578_tol,2,3,||21|3|,||2|31|,8,0,1,3,58797,16568,964,0,0,10,T1_4578_tol,4,3,|12|3||,|12|3||,1,0,1,12,38425,6491,6491,1,1,40,T2_4578_tol,4,3,|2|31||,|32||1|,0,0,1,9,36054,0,0,0,0,28
T0_4578_tol,2,3,||2|31|,||2|31|,9,0,1,6,59994,17765,1197,1,4,15,T1_4578_tol,5,3,||13|2|,||1|32|,0,0,1,12,39258,0,0,0,0,40,T2_4578_tol,4,3,|2|3|1|,|32||1|,1,0,1,9,40074,4020,4020,0,0,28
T0_4578_tol,3,3,|3|21||,||21|3|,0,0,1,6,60886,0,0,0,0,15,T1_4578_tol,5,3,|2|13||,||1|32|,1,0,1,12,48303,9045,9045,0,0,40,T2_4578_tol,4,3,||3|12|,|32||1|,2,0,1,9,42038,5984,1964,0,0,28
T0_4578_tol,3,3,||21|3|,||21|3|,1,0,1,9,65144,4258,4258,1,1,25,T1_4578_tol,5,3,|2|1|3|,||1|32|,2,0,1,12,49097,9839,794,0,0,40,T2_4578_tol,4,3,|3||12|,|32||1|,3,0,1,9,43260,7206,1222,0,0,28
T0_4578_tol,4,3,|2|3|1|,|2||31|,0,0,1,9,67388,0,0,0,0,25,T1_4578_tol,5,3,||1|32|,||1|32|,3,0,1,15,50274,11016,1177,1,3,50,T2_4578_tol,4,3,|32||1|,|32||1|,4,0,1,12,44589,8535,1329,1,4,38
T0_4578_tol,4,3,|21|3||,|2||31|,1,0,1,9,71044,3656,3656,0,0,25,T1_4578_tol,6,3,|3|12||,||13|2|,0,0,1,15,50629,0,0,0,0,50,T2_4578_tol,5,3,|1|2|3|,|3|21||,0,0,1,12,45410,0,0,0,0,38
T0_4578_tol,4,3,|21||3|,|2||31|,2,0,1,9,71941,4553,897,0,0,25,T1_4578_tol,6,3,|3|1|2|,||13|2|,1,0,1,15,52612,1983,1983,0,0,50,T2_4578_tol,5,3,||21|3|,|3|21||,1,0,1,12,48795,3385,3385,0,0,38
T0_4578_tol,4,3,|2||31|,|2||31|,3,0,1,12,72977,5589,1036,1,3,35,T1_4578_tol,6,3,||13|2|,||13|2|,2,0,1,18,53498,2869,886,1,2,60,T2_4578_tol,5,3,|3|21||,|3|21||,2,0,1,15,49753,4343,958,1,2,48
T0_4578_tol,5,3,||3|21|,|3||12|,0,0,1,12,73757,0,0,0,0,35,T1_4578_tol,7,3,|2|3|1|,|1|2|3|,0,0,1,18,54198,0,0,0,0,60,T2_4578_tol,6,3,|23||1|,|1||32|,0,0,1,15,50459,0,0,0,0,48
T0_4578_tol,5,3,|3||21|,|3||12|,1,0,1,12,77628,3871,3871,0,0,35,T1_4578_tol,7,3,|21|3||,|1|2|3|,1,0,1,18,58374,4176,4176,0,0,60,T2_4578_tol,6,3,|2|3|1|,|1||32|,1,0,1,15,56847,6388,6388,0,0,48
T0_4578_tol,5,3,|3|1|2|,|3||12|,2,0,1,12,80220,6463,2592,0,0,35,T1_4578_tol,7,3,|21||3|,|1|2|3|,2,0,1,18,60036,5838,1662,0,0,60,T2_4578_tol,6,3,||32|1|,|1||32|,2,0,1,15,58927,8468,2080,0,0,48
