ID do teste,Nº trial,Tamanho,Estado atual,Estado final,Passos,Reinício,Tentativas,Pontuação,Abs(ms),Trial(ms),Click(ms),Sucesso,MinMov,Acum,ID do teste,Nº trial,Tamanho,Estado atual,Estado final,Passos,Reinício,Tentativas,Pontuação,Abs(ms),Trial(ms),Click(ms),Sucesso,MinMov,Acum,ID do teste,Nº trial,Tamanho,Estado atual,Estado final,Passos,Reinício,Tentativas,Pontuação,Abs(ms),Trial(ms),Click(ms),Sucesso,MinMov,Acum
T0_sub,T0_trial,T0_size,T0_current,T0_end,T0_step,T0_reset,T0_tries,T0_score,T0_abstime,T0_trialtime,T0_clicktime,T0_done,T0_movimentos_minimos,T0_pontuacao_acumulada,T1_sub,T1_trial,T1_size,T1_current,T1_end,T1_step,T1_reset,T1_tries,T1_score,T1_abstime,T1_trialtime,T1_clicktime,T1_done,T1_movimentos_minimos,T1_pontuacao_acumulada,T2_sub,T2_trial,T2_size,T2_current,T2_end,T2_step,T2_reset,T2_tries,T2_score,T2_abstime,T2_trialtime,T2_clicktime,T2_done,T2_movimentos_minimos,T2_pontuacao_acumulada
T0_4579_tol,1,3,|2|31||,|13|2||,0,0,1,0,32246,0,0,0,0,0,T1_4579_tol,1,3,|2||31|,||2|13|,0,0,1,0,27762,0,0,0,0,0,T2_4579_tol,1,3,|||123|,|2|1|3|,0,0,1,0,8499,0,0,0,0,0
T0_4579_tol,1,3,|2|3|1|,|13|2||,1,0,1,0,36579,4333,4333,0,0,0,T1_4579_tol,1,3,||2|31|,||2|13|,1,0,1,0,33410,5648,5648,0,0,0,T2_4579_tol,1,3,||3|12|,|2|1|3|,1,0,1,0,12793,4294,4294,0,0,0
T0_4579_tol,1,3,|2||13|,|13|2||,2,0,1,0,41118,8872,4539,0,0,0,T1_4579_tol,1,3,|1|2|3|,||2|13|,2,0,1,0,37781,10019,4371,0,0,0,T2_4579_tol,1,3,|2|3|1|,|2|1|3|,2,0,1,0,15158,6659,2365,0,0,0
T0_4579_tol,1,3,||2|13|,|13|2||,3,0,1,0,43214,10968,2096,0,0,0,T1_4579_tol,1,3,|1|23||,||2|13|,3,0,1,0,38929,11167,1148,0,0,0,T2_4579_tol,1,3,|23||1|,|2|1|3|,3,0,1,0,17452,8953,2294,0,0,0
T0_4579_tol,1,3,||23|1|,|13|2||,4,0,1,0,47642,15396,4428,0,0,0,T1_4579_tol,1,3,||23|1|,||2|13|,4,0,1,0,40826,13064,1897,0,0,0,T2_4579_tol,1,3,|23|1||,|2|1|3|,4,0,1,0,18694,10195,1242,0,0,0
T0_4579_tol,1,3,|1|23||,|13|2||,5,0,1,0,49174,16928,1532,0,0,0,T1_4579_tol,1,3,||2|13|,||2|13|,5,0,1,3,41840,14078,1014,1,5,10,T2_4579_tol,1,3,|2|1|3|,|2|1|3|,5,0,1,3,19913,11414,1219,1,5,10
T0_4579_tol,1,3,|13|2||,|13|2||,6,0,1,3,50481,18235,1307,1,4,8,T1_4579_tol,2,3,||2|31|,||13|2|,0,0,1,3,46618,0,0,0,0,10,T2_4579_tol,2,3,|3|1|2|,||132||,0,0,1,3,24952,0,0,0,0,10
T0_4579_tol,2,3,|3|12||,||23|1|,0,0,1,3,54268,0,0,0,0,8,T1_4579_tol,2,3,|2||31|,||13|2|,1,0,1,3,51976,5358,5358,0,0,10,T2_4579_tol,2,3,||13|2|,||132||,1,0,1,3,28711,3759,3759,0,0,10
T0_4579_tol,2,3,|32|1||,||23|1|,1,0,1,3,59934,5666,5666,0,0,8,T1_4579_tol,2,3,|2|1|3|,||13|2|,2,0,1,3,53694,7076,1718,0,0,10,T2_4579_tol,2,3,||132||,||132||,2,0,1,6,29674,4722,963,1,2,20
T0_4579_tol,2,3,|32||1|,||23|1|,2,0,1,3,61521,7253,1587,0,0,8,T1_4579_tol,2,3,|2|13||,||13|2|,3,0,1,3,54578,7960,884,0,0,10,T2_4579_tol,3,3,||21|3|,|3|21||,0,0,1,6,31723,0,0,0,0,20
