test_type,total_movements,total_time_ms,completed_trials,movements_per_trial,avg_time_per_trial,time_per_movement,num_attempts,total_min_movements,movement_efficiency
T0,160,523871,24,6.67,21827.96,3274.19,0,137,0.86
T1,158,376502,24,6.58,15687.58,2382.92,0,135,0.85
T2,125,301094,24,5.21,12545.58,2408.75,0,117,0.94
