test_type,total_movements,total_time_ms,completed_trials,movements_per_trial,avg_time_per_trial,time_per_movement,num_attempts,total_min_movements,movement_efficiency
T0,159,291128,24,6.62,12130.33,1830.99,0,140,0.88
T1,152,247765,24,6.33,10323.54,1630.03,0,133,0.88
T2,140,221059,24,5.83,9210.79,1578.99,0,130,0.93
