test_type,total_movements,total_time_ms,completed_trials,movements_per_trial,avg_time_per_trial,time_per_movement,num_attempts,total_min_movements,movement_efficiency
T0,166,418510,24,6.92,17437.92,2521.14,0,133,0.8
T1,154,314208,24,6.42,13092.0,2040.31,0,128,0.83
T2,139,296186,24,5.79,12341.08,2130.83,0,123,0.88
