test_type,total_movements,total_time_ms,completed_trials,movements_per_trial,avg_time_per_trial,time_per_movement,num_attempts,total_min_movements,movement_efficiency
T0,148,357178,24,6.17,14882.42,2413.36,0,131,0.89
T1,153,337211,24,6.38,14050.46,2203.99,0,136,0.89
T2,143,303548,24,5.96,12647.83,2122.71,0,127,0.89
