test_type,total_movements,total_time_ms,completed_trials,movements_per_trial,avg_time_per_trial,time_per_movement,num_attempts,total_min_movements,movement_efficiency
T0,139,218931,24,5.79,9122.12,1575.04,0,122,0.88
T1,146,233829,24,6.08,9742.88,1601.57,0,132,0.9
T2,151,272982,24,6.29,11374.25,1807.83,0,136,0.9
