sub,trial,size,current,end,step,reset,tries,score,abstime,trialtime,clicktime,done,movimentos_minimos,pontuacao_acumulada
T2_4576_tol,1,3,||1|32|,|32|1||,0,0,1,0,17425,0,0,0,0,0
T2_4576_tol,1,3,||12|3|,|32|1||,1,0,1,0,23899,6474,6474,0,0,0
T2_4576_tol,1,3,|3|12||,|32|1||,2,0,1,0,25976,8551,2077,0,0,0
T2_4576_tol,1,3,|32|1||,|32|1||,3,0,1,3,28286,10861,2310,1,3,10
T2_4576_tol,2,3,||3|21|,|13|2||,0,0,1,3,31564,0,0,0,0,10
T2_4576_tol,2,3,|1|3|2|,|13|2||,1,0,1,3,40640,9076,9076,0,0,10
T2_4576_tol,2,3,|13||2|,|13|2||,2,0,1,3,42634,11070,1994,0,0,10
T2_4576_tol,2,3,|13|2||,|13|2||,3,0,1,6,44125,12561,1491,1,3,20
T2_4576_tol,3,3,|3|12||,||23|1|,0,0,1,6,45258,0,0,0,0,20
T2_4576_tol,3,3,|32|1||,||23|1|,1,0,1,6,53608,8350,8350,0,0,20
T2_4576_tol,3,3,|32||1|,||23|1|,2,0,1,6,54770,9512,1162,0,0,20
T2_4576_tol,3,3,|3|2|1|,||23|1|,3,0,1,6,57033,11775,2263,0,0,20
T2_4576_tol,3,3,||23|1|,||23|1|,4,0,1,9,58130,12872,1097,1,4,30
T2_4576_tol,4,3,||2|13|,|12|3||,0,0,1,9,60699,0,0,0,0,30
T2_4576_tol,4,3,||23|1|,|12|3||,1,0,1,9,68290,7591,7591,0,0,30
T2_4576_tol,4,3,|1|23||,|12|3||,2,0,1,9,69492,8793,1202,0,0,30
T2_4576_tol,4,3,|1|2|3|,|12|3||,3,0,1,9,71256,10557,1764,0,0,30
T2_4576_tol,4,3,|12||3|,|12|3||,4,0,1,9,72465,11766,1209,0,0,30
T2_4576_tol,4,3,|12|3||,|12|3||,5,0,1,12,73638,12939,1173,1,5,40
T2_4576_tol,5,3,||23|1|,||3|12|,0,0,1,12,74929,0,0,0,0,40
T2_4576_tol,5,3,|3|2|1|,||3|12|,1,0,1,12,77609,2680,2680,0,0,40
T2_4576_tol,5,3,|3||12|,||3|12|,2,0,1,12,78971,4042,1362,0,0,40
