sub,trial,size,current,end,step,reset,tries,score,abstime,trialtime,clicktime,done,movimentos_minimos,pontuacao_acumulada
T1_4588_tol,1,3,|2|3|1|,||23|1|,0,0,1,0,16219,0,0,0,0,0
T1_4588_tol,1,3,|2||13|,||23|1|,1,0,1,0,23007,6788,6788,0,0,0
T1_4588_tol,1,3,||2|13|,||23|1|,2,0,1,0,24383,8164,1376,0,0,0
T1_4588_tol,1,3,||23|1|,||23|1|,3,0,1,3,25695,9476,1312,1,3,10
T1_4588_tol,2,3,|1|2|3|,||321||,0,0,1,3,27143,0,0,0,0,10
T1_4588_tol,2,3,|12||3|,||321||,1,0,1,3,32540,5397,5397,0,0,10
T1_4588_tol,2,3,|12|3||,||321||,2,0,1,3,33833,6690,1293,0,0,10
T1_4588_tol,2,3,|1|32||,||321||,3,0,1,3,35034,7891,1201,0,0,10
T1_4588_tol,2,3,||321||,||321||,4,0,1,6,36369,9226,1335,1,4,20
T1_4588_tol,3,3,|12||3|,||312||,0,0,1,6,37558,0,0,0,0,20
T1_4588_tol,3,3,|12|3||,||312||,1,0,1,6,41840,4282,4282,0,0,20
T1_4588_tol,3,3,|1|3|2|,||312||,2,0,1,6,44023,6465,2183,0,0,20
T1_4588_tol,3,3,||31|2|,||312||,3,0,1,6,45790,8232,1767,0,0,20
T1_4588_tol,3,3,||312||,||312||,4,0,1,9,46950,9392,1160,1,4,30
T1_4588_tol,4,3,|3|21||,|1|2|3|,0,0,1,9,47623,0,0,0,0,30
T1_4588_tol,4,3,||21|3|,|1|2|3|,1,0,1,9,52561,4938,4938,0,0,30
T1_4588_tol,4,3,|1|2|3|,|1|2|3|,2,0,1,12,54469,6846,1908,1,2,40
T1_4588_tol,5,3,|1||23|,|3|2|1|,0,0,1,12,55321,0,0,0,0,40
T1_4588_tol,5,3,|13||2|,|3|2|1|,1,0,1,12,60805,5484,5484,0,0,40
T1_4588_tol,5,3,|13|2||,|3|2|1|,2,0,1,12,61954,6633,1149,0,0,40
T1_4588_tol,5,3,|1|23||,|3|2|1|,3,0,1,12,65024,9703,3070,0,0,40
T1_4588_tol,5,3,||23|1|,|3|2|1|,4,0,1,12,66084,10763,1060,0,0,40
T1_4588_tol,5,3,|3|2|1|,|3|2|1|,5,0,1,15,67157,11836,1073,1,5,50
T1_4588_tol,6,3,|2|1|3|,||3|21|,0,0,1,15,67988,0,0,0,0,50
T1_4588_tol,6,3,|21||3|,||3|21|,1,0,1,15,73708,5720,5720,0,0,50
T1_4588_tol,6,3,|21|3||,||3|21|,2,0,1,15,74761,6773,1053,0,0,50
T1_4588_tol,6,3,|2|31||,||3|21|,3,0,1,15,76130,8142,1369,0,0,50
T1_4588_tol,6,3,||31|2|,||3|21|,4,0,1,15,77299,9311,1169,0,0,50
T1_4588_tol,6,3,||3|21|,||3|21|,5,0,1,18,78430,10442,1131,1,5,60
T1_4588_tol,7,3,||213||,|21||3|,0,0,1,18,79011,0,0,0,0,60
T1_4588_tol,7,3,||21|3|,|21||3|,1,0,1,18,81770,2759,2759,0,0,60
T1_4588_tol,7,3,||2|31|,|21||3|,2,0,1,18,83548,4537,1778,0,0,60
T1_4588_tol,7,3,|2||31|,|21||3|,3,0,1,18,85084,6073,1536,0,0,60
T1_4588_tol,7,3,|21||3|,|21||3|,4,0,1,21,86498,7487,1414,1,4,70
T1_4588_tol,8,3,||1|23|,||12|3|,0,0,1,21,87239,0,0,0,0,70
T1_4588_tol,8,3,|3|1|2|,||12|3|,1,0,1,21,91452,4213,4213,0,0,70
T1_4588_tol,8,3,|3|12||,||12|3|,2,0,1,21,92571,5332,1119,0,0,70
T1_4588_tol,8,3,||12|3|,||12|3|,3,0,1,24,93990,6751,1419,1,3,80
