sub,trial,size,current,end,step,reset,tries,score,abstime,trialtime,clicktime,done,movimentos_minimos,pontuacao_acumulada
T1_4578_tol,1,3,|||321|,|2|1|3|,0,0,1,0,6301,0,0,0,0,0
T1_4578_tol,1,3,||1|32|,|2|1|3|,1,0,1,0,9362,3061,3061,0,0,0
T1_4578_tol,1,3,|2|1|3|,|2|1|3|,2,0,1,3,10596,4295,1234,1,2,10
T1_4578_tol,2,3,||23|1|,|1|32||,0,0,1,3,11684,0,0,0,0,10
T1_4578_tol,2,3,|1|23||,|1|32||,1,0,1,3,17461,5777,5777,0,0,10
T1_4578_tol,2,3,|13|2||,|1|32||,2,0,1,3,23340,11656,5879,0,0,10
T1_4578_tol,2,3,|13||2|,|1|32||,3,0,1,3,24410,12726,1070,0,0,10
T1_4578_tol,2,3,|1|3|2|,|1|32||,4,0,1,3,25337,13653,927,0,0,10
T1_4578_tol,2,3,|1|32||,|1|32||,5,0,1,6,26155,14471,818,1,5,20
T1_4578_tol,3,3,|21|3||,||312||,0,0,1,6,27204,0,0,0,0,20
T1_4578_tol,3,3,|2|31||,||312||,1,0,1,6,30404,3200,3200,0,0,20
T1_4578_tol,3,3,||312||,||312||,2,0,1,9,31202,3998,798,1,2,30
T1_4578_tol,4,3,|1|32||,|12|3||,0,0,1,9,31934,0,0,0,0,30
T1_4578_tol,4,3,|12|3||,|12|3||,1,0,1,12,38425,6491,6491,1,1,40
T1_4578_tol,5,3,||13|2|,||1|32|,0,0,1,12,39258,0,0,0,0,40
T1_4578_tol,5,3,|2|13||,||1|32|,1,0,1,12,48303,9045,9045,0,0,40
T1_4578_tol,5,3,|2|1|3|,||1|32|,2,0,1,12,49097,9839,794,0,0,40
T1_4578_tol,5,3,||1|32|,||1|32|,3,0,1,15,50274,11016,1177,1,3,50
T1_4578_tol,6,3,|3|12||,||13|2|,0,0,1,15,50629,0,0,0,0,50
T1_4578_tol,6,3,|3|1|2|,||13|2|,1,0,1,15,52612,1983,1983,0,0,50
T1_4578_tol,6,3,||13|2|,||13|2|,2,0,1,18,53498,2869,886,1,2,60
T1_4578_tol,7,3,|2|3|1|,|1|2|3|,0,0,1,18,54198,0,0,0,0,60
T1_4578_tol,7,3,|21|3||,|1|2|3|,1,0,1,18,58374,4176,4176,0,0,60
T1_4578_tol,7,3,|21||3|,|1|2|3|,2,0,1,18,60036,5838,1662,0,0,60
T1_4578_tol,7,3,|2||31|,|1|2|3|,3,0,1,18,61197,6999,1161,0,0,60
T1_4578_tol,7,3,||2|31|,|1|2|3|,4,0,1,18,62165,7967,968,0,0,60
T1_4578_tol,7,3,|1|2|3|,|1|2|3|,5,0,1,21,62972,8774,807,1,5,70
T1_4578_tol,8,3,|1|23||,|21||3|,0,0,1,21,63566,0,0,0,0,70
T1_4578_tol,8,3,|1|2|3|,|21||3|,1,0,1,21,66348,2782,2782,0,0,70
T1_4578_tol,8,3,|1||32|,|21||3|,2,0,1,21,67499,3933,1151,0,0,70
T1_4578_tol,8,3,||1|32|,|21||3|,3,0,1,21,70566,7000,3067,0,0,70
T1_4578_tol,8,3,|2|1|3|,|21||3|,4,0,1,21,71488,7922,922,0,0,70
T1_4578_tol,8,3,|21||3|,|21||3|,5,0,1,24,72282,8716,794,1,4,79
