sub,trial,size,current,end,step,reset,tries,score,abstime,trialtime,clicktime,done
T0_4588_tol,1,3,|1|3|2|,|3|1|2|,0,0,1,0,30916,0,0,0
T0_4588_tol,1,3,|13||2|,|3|1|2|,1,0,1,0,41445,10529,10529,0
T0_4588_tol,1,3,|1|3|2|,|3|1|2|,2,0,1,0,51169,20253,9724,0
T0_4588_tol,1,3,||3|21|,|3|1|2|,3,0,1,0,61436,30520,10267,0
T0_4588_tol,1,3,|3||21|,|3|1|2|,4,0,1,0,63388,32472,1952,0
T0_4588_tol,1,3,|3|1|2|,|3|1|2|,5,0,1,3,64843,33927,1455,1
T0_4588_tol,2,3,|3|12||,|3||21|,0,0,1,3,67536,0,0,0
T0_4588_tol,2,3,|32|1||,|3||21|,1,0,1,3,79343,11807,11807,0
T0_4588_tol,2,3,|32||1|,|3||21|,2,0,1,3,80762,13226,1419,0
T0_4588_tol,2,3,|3|2|1|,|3||21|,3,0,1,3,82208,14672,1446,0
T0_4588_tol,2,3,|3|21||,|3||21|,4,0,1,3,83722,16186,1514,0
T0_4588_tol,2,3,|31|2||,|3||21|,5,0,1,3,98606,31070,14884,0
T0_4588_tol,2,3,|31||2|,|3||21|,6,0,1,3,100080,32544,1474,0
T0_4588_tol,2,3,|3||21|,|3||21|,7,0,1,6,102263,34727,2183,1
T0_4588_tol,3,3,|1|3|2|,|1|2|3|,0,0,1,6,103460,0,0,0
T0_4588_tol,3,3,|13||2|,|1|2|3|,1,0,1,6,107432,3972,3972,0
T0_4588_tol,3,3,|13|2||,|1|2|3|,2,0,1,6,108523,5063,1091,0
T0_4588_tol,3,3,|1|2|3|,|1|2|3|,3,0,1,9,109948,6488,1425,1
T0_4588_tol,4,3,|2|1|3|,|21|3||,0,0,1,9,111027,0,0,0
T0_4588_tol,4,3,|21||3|,|21|3||,1,0,1,9,114762,3735,3735,0
T0_4588_tol,4,3,|21|3||,|21|3||,2,0,1,12,116121,5094,1359,1
T0_4588_tol,5,3,|1|3|2|,||23|1|,0,0,1,12,117086,0,0,0
T0_4588_tol,5,3,|13||2|,||23|1|,1,0,1,12,124507,7421,7421,0
T0_4588_tol,5,3,|13|2||,||23|1|,2,0,1,12,125820,8734,1313,0
T0_4588_tol,5,3,|1|2|3|,||23|1|,3,0,1,12,128715,11629,2895,0
T0_4588_tol,5,3,||2|31|,||23|1|,4,0,1,12,131157,14071,2442,0
T0_4588_tol,5,3,|2||31|,||23|1|,5,0,1,12,133539,16453,2382,0
T0_4588_tol,5,3,|2|1|3|,||23|1|,6,0,1,12,135008,17922,1469,0
T0_4588_tol,5,3,|23|1||,||23|1|,7,0,1,12,136332,19246,1324,0
T0_4588_tol,5,3,|23||1|,||23|1|,8,0,1,12,145802,28716,9470,0
T0_4588_tol,5,3,|2||13|,||23|1|,9,0,1,12,147511,30425,1709,0
T0_4588_tol,5,3,||2|13|,||23|1|,10,0,1,12,148949,31863,1438,0
T0_4588_tol,5,3,||23|1|,||23|1|,11,0,1,15,150068,32982,1119,1
T0_4588_tol,6,3,|2|13||,||3|12|,0,0,1,15,150817,0,0,0
T0_4588_tol,6,3,|23|1||,||3|12|,1,0,1,15,155803,4986,4986,0
T0_4588_tol,6,3,|23||1|,||3|12|,2,0,1,15,156862,6045,1059,0
T0_4588_tol,6,3,|2|3|1|,||3|12|,3,0,1,15,159892,9075,3030,0
T0_4588_tol,6,3,||3|12|,||3|12|,4,0,1,18,160974,10157,1082,1
T0_4588_tol,7,3,|2||31|,|1|2|3|,0,0,1,18,161964,0,0,0
T0_4588_tol,7,3,||2|31|,|1|2|3|,1,0,1,18,165589,3625,3625,0
T0_4588_tol,7,3,|1|2|3|,|1|2|3|,2,0,1,21,166959,4995,1370,1
T0_4588_tol,8,3,||1|32|,|1|3|2|,0,0,1,21,167976,0,0,0
T0_4588_tol,8,3,|1||32|,|1|3|2|,1,0,1,21,169699,1723,1723,0
T0_4588_tol,8,3,|12||3|,|1|3|2|,2,0,1,21,172060,4084,2361,0
T0_4588_tol,8,3,|12|3||,|1|3|2|,3,0,1,21,173210,5234,1150,0
T0_4588_tol,8,3,|1|3|2|,|1|3|2|,4,0,1,24,174252,6276,1042,1
T0_4588_tol,9,4,|4|3|12|,|312|4||,0,0,1,24,175150,0,0,0
T0_4588_tol,9,4,||34|12|,|312|4||,1,0,1,24,181246,6096,6096,0
T0_4588_tol,9,4,|2|34|1|,|312|4||,2,0,1,24,185190,10040,3944,0
T0_4588_tol,9,4,|2|3|14|,|312|4||,3,0,1,24,186394,11244,1204,0
T0_4588_tol,9,4,||32|14|,|312|4||,4,0,1,24,187822,12672,1428,0
T0_4588_tol,9,4,||3|142|,|312|4||,5,0,1,24,190436,15286,2614,0
T0_4588_tol,9,4,|3||142|,|312|4||,6,0,1,24,191945,16795,1509,0
T0_4588_tol,9,4,|3|2|14|,|312|4||,7,0,1,24,193350,18200,1405,0
T0_4588_tol,9,4,|3|24|1|,|312|4||,8,0,1,24,194478,19328,1128,0
T0_4588_tol,9,4,|31|24||,|312|4||,9,0,1,24,195598,20448,1120,0
T0_4588_tol,9,4,|31|2|4|,|312|4||,10,0,1,24,197937,22787,2339,0
T0_4588_tol,9,4,|312||4|,|312|4||,11,0,1,24,199609,24459,1672,0
T0_4588_tol,9,4,|312|4||,|312|4||,12,0,1,27,200919,25769,1310,1
T0_4588_tol,10,4,|2|3|41|,|21||43|,0,0,1,27,201651,0,0,0
T0_4588_tol,10,4,|21|3|4|,|21||43|,1,0,1,27,204764,3113,3113,0
T0_4588_tol,10,4,|21||43|,|21||43|,2,0,1,30,206251,4600,1487,1
T0_4588_tol,11,4,|4|21|3|,|423||1|,0,0,1,30,207131,0,0,0
T0_4588_tol,11,4,|4|2|31|,|423||1|,1,0,1,30,210329,3198,3198,0
T0_4588_tol,11,4,|42||31|,|423||1|,2,0,1,30,211867,4736,1538,0
T0_4588_tol,11,4,|42|1|3|,|423||1|,3,0,1,30,212946,5815,1079,0
T0_4588_tol,11,4,|423|1||,|423||1|,4,0,1,30,214187,7056,1241,0
T0_4588_tol,11,4,|423||1|,|423||1|,5,0,1,33,215208,8077,1021,1
T0_4588_tol,12,4,||1243||,|23|1|4|,0,0,1,33,216159,0,0,0
T0_4588_tol,12,4,||124|3|,|23|1|4|,1,0,1,33,218707,2548,2548,0
T0_4588_tol,12,4,||12|34|,|23|1|4|,2,0,1,33,219862,3703,1155,0
T0_4588_tol,12,4,|2|1|34|,|23|1|4|,3,0,1,33,221835,5676,1973,0
T0_4588_tol,12,4,|2|14|3|,|23|1|4|,4,0,1,33,225694,9535,3859,0
T0_4588_tol,12,4,|23|14||,|23|1|4|,5,0,1,33,227070,10911,1376,0
T0_4588_tol,12,4,|23|1|4|,|23|1|4|,6,0,1,36,228047,11888,977,1
T0_4588_tol,13,4,|3|4|12|,|1||324|,0,0,1,36,228806,0,0,0
T0_4588_tol,13,4,||43|12|,|1||324|,1,0,1,36,231797,2991,2991,0
T0_4588_tol,13,4,||432|1|,|1||324|,2,0,1,36,233228,4422,1431,0
T0_4588_tol,13,4,|1|432||,|1||324|,3,0,1,36,235163,6357,1935,0
T0_4588_tol,13,4,|12|43||,|1||324|,4,0,1,36,237142,8336,1979,0
T0_4588_tol,13,4,|12|4|3|,|1||324|,5,0,1,36,239425,10619,2283,0
T0_4588_tol,13,4,|1|4|32|,|1||324|,6,0,1,36,241416,12610,1991,0
T0_4588_tol,13,4,|1||324|,|1||324|,7,0,1,39,242789,13983,1373,1
T0_4588_tol,14,4,|123|4||,|13|4|2|,0,0,1,39,243625,0,0,0
T0_4588_tol,14,4,|12|43||,|13|4|2|,1,0,1,39,248564,4939,4939,0
T0_4588_tol,14,4,|1|43|2|,|13|4|2|,2,0,1,39,250091,6466,1527,0
T0_4588_tol,14,4,|13|4|2|,|13|4|2|,3,0,1,42,252380,8755,2289,1
T0_4588_tol,15,4,|31|2|4|,|134|2||,0,0,1,42,253176,0,0,0
T0_4588_tol,15,4,|314|2||,|134|2||,1,0,1,42,256608,3432,3432,0
T0_4588_tol,15,4,|31|2|4|,|134|2||,2,0,1,42,259766,6590,3158,0
T0_4588_tol,15,4,|3|2|41|,|134|2||,3,0,1,42,261416,8240,1650,0
T0_4588_tol,15,4,||23|41|,|134|2||,4,0,1,42,262629,9453,1213,0
T0_4588_tol,15,4,|1|23|4|,|134|2||,5,0,1,42,264699,11523,2070,0
T0_4588_tol,15,4,|13|2|4|,|134|2||,6,0,1,42,266308,13132,1609,0
T0_4588_tol,15,4,|134|2||,|134|2||,7,0,1,45,267849,14673,1541,1
T0_4588_tol,16,4,|2|3|41|,||123|4|,0,0,1,45,268651,0,0,0
T0_4588_tol,16,4,|2|31|4|,||123|4|,1,0,1,45,272721,4070,4070,0
T0_4588_tol,16,4,|21|3|4|,||123|4|,2,0,1,45,277267,8616,4546,0
T0_4588_tol,16,4,|21||43|,||123|4|,3,0,1,45,278695,10044,1428,0
T0_4588_tol,16,4,|2|1|43|,||123|4|,4,0,1,45,280106,11455,1411,0
T0_4588_tol,16,4,||12|43|,||123|4|,5,0,1,45,281931,13280,1825,0
T0_4588_tol,16,4,||123|4|,||123|4|,6,0,1,48,283061,14410,1130,1
T0_4588_tol,17,5,|53|41|2|,||124|35|,0,0,1,48,283889,0,0,0
T0_4588_tol,17,5,|5|41|23|,||124|35|,1,0,1,48,291589,7700,7700,0
T0_4588_tol,17,5,||41|235|,||124|35|,2,0,1,48,294078,10189,2489,0
T0_4588_tol,17,5,|1|4|235|,||124|35|,3,0,1,48,295006,11117,928,0
T0_4588_tol,17,5,|1|45|23|,||124|35|,4,0,1,48,297783,13894,2777,0
T0_4588_tol,17,5,|1|453|2|,||124|35|,5,0,1,48,299445,15556,1662,0
T0_4588_tol,17,5,|12|453||,||124|35|,6,0,1,48,301648,17759,2203,0
T0_4588_tol,17,5,|12|453||,||124|35|,7,0,1,48,304869,20980,3221,0
T0_4588_tol,17,5,|123|45||,||124|35|,8,0,1,48,306047,22158,1178,0
T0_4588_tol,17,5,|1235|4||,||124|35|,9,0,1,48,307583,23694,1536,0
T0_4588_tol,17,5,|12354|||,||124|35|,10,0,1,48,309045,25156,1462,0
T0_4588_tol,17,5,|1235||4|,||124|35|,11,0,1,48,311596,27707,2551,0
T0_4588_tol,17,5,|123||45|,||124|35|,12,0,1,48,313294,29405,1698,0
T0_4588_tol,17,5,|12|3|45|,||124|35|,13,0,1,48,314503,30614,1209,0
T0_4588_tol,17,5,|12|35|4|,||124|35|,14,0,1,48,315727,31838,1224,0
T0_4588_tol,17,5,|124|35||,||124|35|,15,0,1,48,320721,36832,4994,0
T0_4588_tol,17,5,|1245|3||,||124|35|,16,0,1,48,322294,38405,1573,0
T0_4588_tol,17,5,|1245||3|,||124|35|,17,0,1,48,323524,39635,1230,0
T0_4588_tol,17,5,|124||35|,||124|35|,18,0,1,48,325349,41460,1825,0
T0_4588_tol,17,5,|12||354|,||124|35|,19,0,1,48,328817,44928,3468,0
T0_4588_tol,17,5,|1||3542|,||124|35|,20,0,1,48,330866,46977,2049,0
T0_4588_tol,17,5,||1|3542|,||124|35|,21,0,1,48,332095,48206,1229,0
T0_4588_tol,17,5,||12|354|,||124|35|,22,0,1,48,333645,49756,1550,0
T0_4588_tol,17,5,||124|35|,||124|35|,23,0,1,51,334689,50800,1044,1
T0_4588_tol,18,5,|42|135||,|254|1|3|,0,0,1,51,335356,0,0,0
T0_4588_tol,18,5,|42|135||,|254|1|3|,1,0,1,51,348349,12993,12993,0
T0_4588_tol,18,5,|425|13||,|254|1|3|,2,0,1,51,350121,14765,1772,0
T0_4588_tol,18,5,|425|1|3|,|254|1|3|,3,0,1,51,351242,15886,1121,0
T0_4588_tol,18,5,|42|1|35|,|254|1|3|,4,0,1,51,354820,19464,3578,0
T0_4588_tol,18,5,|4|12|35|,|254|1|3|,5,0,1,51,356141,20785,1321,0
T0_4588_tol,18,5,||12|354|,|254|1|3|,6,0,1,51,360741,25385,4600,0
T0_4588_tol,18,5,|2|1|354|,|254|1|3|,7,0,1,51,361933,26577,1192,0
T0_4588_tol,18,5,|2|14|35|,|254|1|3|,8,0,1,51,363133,27777,1200,0
T0_4588_tol,18,5,|25|14|3|,|254|1|3|,9,0,1,51,364473,29117,1340,0
T0_4588_tol,18,5,|254|1|3|,|254|1|3|,10,0,1,54,365920,30564,1447,1
T0_4588_tol,19,5,|1|5324||,|352|1|4|,0,0,1,54,366832,0,0,0
T0_4588_tol,19,5,|1|532|4|,|352|1|4|,1,0,1,54,372734,5902,5902,0
T0_4588_tol,19,5,|1|53|42|,|352|1|4|,2,0,1,54,376010,9178,3276,0
T0_4588_tol,19,5,|1|5|423|,|352|1|4|,3,0,1,54,378035,11203,2025,0
T0_4588_tol,19,5,||51|423|,|352|1|4|,4,0,1,54,381159,14327,3124,0
T0_4588_tol,19,5,|3|51|42|,|352|1|4|,5,0,1,54,382684,15852,1525,0
T0_4588_tol,19,5,|3|5|421|,|352|1|4|,6,0,1,54,383806,16974,1122,0
T0_4588_tol,19,5,|35||421|,|352|1|4|,7,0,1,54,385170,18338,1364,0
T0_4588_tol,19,5,|35|1|42|,|352|1|4|,8,0,1,54,386682,19850,1512,0
T0_4588_tol,19,5,|352|1|4|,|352|1|4|,9,0,1,57,388010,21178,1328,1
T0_4588_tol,20,5,|2|13|54|,|1453||2|,0,0,1,57,388736,0,0,0
T0_4588_tol,20,5,||13|542|,|1453||2|,1,0,1,57,392956,4220,4220,0
T0_4588_tol,20,5,||1|5423|,|1453||2|,2,0,1,57,394317,5581,1361,0
T0_4588_tol,20,5,|1||5423|,|1453||2|,3,0,1,57,396288,7552,1971,0
T0_4588_tol,20,5,|1|3|542|,|1453||2|,4,0,1,57,398643,9907,2355,0
T0_4588_tol,20,5,|1|32|54|,|1453||2|,5,0,1,57,400761,12025,2118,0
T0_4588_tol,20,5,|14|32|5|,|1453||2|,6,0,1,57,402256,13520,1495,0
T0_4588_tol,20,5,|145|32||,|1453||2|,7,0,1,57,403600,14864,1344,0
T0_4588_tol,20,5,|145|3|2|,|1453||2|,8,0,1,57,405119,16383,1519,0
T0_4588_tol,20,5,|1453||2|,|1453||2|,9,0,1,60,406366,17630,1247,1
T0_4588_tol,21,5,|12|435||,|521|3|4|,0,0,1,60,407053,0,0,0
T0_4588_tol,21,5,|1|435|2|,|521|3|4|,1,0,1,60,409367,2314,2314,0
T0_4588_tol,21,5,||435|21|,|521|3|4|,2,0,1,60,410852,3799,1485,0
T0_4588_tol,21,5,|5|43|21|,|521|3|4|,3,0,1,60,412183,5130,1331,0
T0_4588_tol,21,5,|5|431|2|,|521|3|4|,4,0,1,60,413454,6401,1271,0
T0_4588_tol,21,5,|52|431||,|521|3|4|,5,0,1,60,414754,7701,1300,0
T0_4588_tol,21,5,|521|43||,|521|3|4|,6,0,1,60,416479,9426,1725,0
T0_4588_tol,21,5,|5213|4||,|521|3|4|,7,0,1,60,419839,12786,3360,0
T0_4588_tol,21,5,|5213||4|,|521|3|4|,8,0,1,60,421267,14214,1428,0
T0_4588_tol,21,5,|521|3|4|,|521|3|4|,9,0,1,63,422414,15361,1147,1
T0_4588_tol,22,5,|31||452|,||25|413|,0,0,1,63,423235,0,0,0
T0_4588_tol,22,5,|31|2|45|,||25|413|,1,0,1,63,428412,5177,5177,0
T0_4588_tol,22,5,|31|25|4|,||25|413|,2,0,1,63,430024,6789,1612,0
T0_4588_tol,22,5,|3|251|4|,||25|413|,3,0,1,63,432369,9134,2345,0
T0_4588_tol,22,5,||251|43|,||25|413|,4,0,1,63,433509,10274,1140,0
T0_4588_tol,22,5,||25|431|,||25|413|,5,0,1,63,434733,11498,1224,0
T0_4588_tol,22,5,|1|25|43|,||25|413|,6,0,1,63,439149,15914,4416,0
T0_4588_tol,22,5,|1|253|4|,||25|413|,7,0,1,63,440200,16965,1051,0
T0_4588_tol,22,5,||253|41|,||25|413|,8,0,1,63,442377,19142,2177,0
T0_4588_tol,22,5,||25|413|,||25|413|,9,0,1,66,443286,20051,909,1
