sub,trial,size,current,end,step,reset,tries,score,abstime,trialtime,clicktime,done
T0_4585_tol,1,3,|2|31||,||312||,0,0,1,0,6323,0,0,0
T0_4585_tol,1,3,||312||,||312||,1,0,1,3,15923,9600,9600,1
T0_4585_tol,2,3,|3|12||,|1||23|,0,0,1,3,20640,0,0,0
T0_4585_tol,2,3,|32|1||,|1||23|,1,0,1,3,35137,14497,14497,0
T0_4585_tol,2,3,|32|1||,|1||23|,2,0,1,3,38590,17950,3453,0
T0_4585_tol,2,3,|32|1||,|1||23|,3,0,1,3,42013,21373,3423,0
T0_4585_tol,2,3,|321|||,|1||23|,4,0,1,3,52817,32177,10804,0
T0_4585_tol,2,3,|321|||,|1||23|,5,0,1,3,62177,41537,9360,0
T0_4585_tol,2,3,|321|||,|1||23|,6,0,1,3,64344,43704,2167,0
T0_4585_tol,2,3,|321|||,|1||23|,7,0,1,3,65949,45309,1605,0
T0_4585_tol,2,3,|321|||,|1||23|,8,0,1,3,70620,49980,4671,0
T0_4585_tol,2,3,|321|||,|1||23|,9,0,1,3,73052,52412,2432,0
T0_4585_tol,2,3,|321|||,|1||23|,10,0,1,3,77592,56952,4540,0
T0_4585_tol,2,3,|321|||,|1||23|,11,0,1,3,78507,57867,915,0
T0_4585_tol,2,3,|321|||,|1||23|,12,0,1,3,87430,66790,8923,0
T0_4585_tol,2,3,|321|||,|1||23|,13,0,1,3,96174,75534,8744,0
T0_4585_tol,2,3,|321|||,|1||23|,14,0,1,3,100581,79941,4407,0
T0_4585_tol,2,3,|321|||,|1||23|,15,0,1,3,107594,86954,7013,0
T0_4585_tol,2,3,|321|||,|1||23|,16,0,1,3,108761,88121,1167,0
T0_4585_tol,2,3,|321|||,|1||23|,17,0,1,3,110344,89704,1583,0
T0_4585_tol,2,3,|32||1|,|1||23|,18,0,1,3,113980,93340,3636,0
T0_4585_tol,2,3,|3|2|1|,|1||23|,19,0,1,3,121671,101031,7691,0
T0_4585_tol,2,3,||23|1|,|1||23|,20,0,1,3,131738,111098,10067,0
T0_4585_tol,2,3,|1|23||,|1||23|,21,0,1,3,136127,115487,4389,0
T0_4585_tol,2,3,|1|2|3|,|1||23|,22,0,1,3,143188,122548,7061,0
T0_4585_tol,2,3,|1|2|3|,|1||23|,23,0,1,3,148359,127719,5171,0
T0_4585_tol,2,3,|1|23||,|1||23|,24,0,1,3,156471,135831,8112,0
T0_4585_tol,2,3,|1|2|3|,|1||23|,25,0,1,3,163044,142404,6573,0
T0_4585_tol,2,3,|1||32|,|1||23|,26,0,1,3,167287,146647,4243,0
T0_4585_tol,2,3,|1||32|,|1||23|,27,0,1,3,175638,154998,8351,0
T0_4585_tol,2,3,|1|2|3|,|1||23|,28,0,1,3,178763,158123,3125,0
T0_4585_tol,2,3,|13|2||,|1||23|,29,0,1,3,183696,163056,4933,0
T0_4585_tol,2,3,|13||2|,|1||23|,30,0,1,3,189789,169149,6093,0
T0_4585_tol,2,3,|1||23|,|1||23|,31,0,1,6,194546,173906,4757,1
T0_4585_tol,3,3,|21|3||,|||213|,0,0,1,6,196853,0,0,0
T0_4585_tol,3,3,|2|31||,|||213|,1,0,1,6,211645,14792,14792,0
T0_4585_tol,3,3,||31|2|,|||213|,2,0,1,6,213527,16674,1882,0
T0_4585_tol,3,3,||3|21|,|||213|,3,0,1,6,218076,21223,4549,0
T0_4585_tol,3,3,|||213|,|||213|,4,0,1,9,220468,23615,2392,1
T0_4585_tol,4,3,||2|31|,|23||1|,0,0,1,9,221952,0,0,0
T0_4585_tol,4,3,|2||31|,|23||1|,1,0,1,9,228511,6559,6559,0
T0_4585_tol,4,3,|2|1|3|,|23||1|,2,0,1,9,231696,9744,3185,0
T0_4585_tol,4,3,|23|1||,|23||1|,3,0,1,9,235598,13646,3902,0
T0_4585_tol,4,3,|23||1|,|23||1|,4,0,1,12,239260,17308,3662,1
T0_4585_tol,5,3,|2||31|,|12|3||,0,0,1,12,240462,0,0,0
T0_4585_tol,5,3,|21||3|,|12|3||,1,0,1,12,252530,12068,12068,0
T0_4585_tol,5,3,|21|3||,|12|3||,2,0,1,12,255535,15073,3005,0
T0_4585_tol,5,3,|2|31||,|12|3||,3,0,1,12,260579,20117,5044,0
T0_4585_tol,5,3,|2|31||,|12|3||,4,0,1,12,265418,24956,4839,0
T0_4585_tol,5,3,|2|3|1|,|12|3||,5,0,1,12,268445,27983,3027,0
T0_4585_tol,5,3,||3|12|,|12|3||,6,0,1,12,270340,29878,1895,0
T0_4585_tol,5,3,||32|1|,|12|3||,7,0,1,12,275958,35496,5618,0
T0_4585_tol,5,3,|1|32||,|12|3||,8,0,1,12,277912,37450,1954,0
T0_4585_tol,5,3,|12|3||,|12|3||,9,0,1,15,280145,39683,2233,1
T0_4585_tol,6,3,|1|32||,|2|3|1|,0,0,1,15,281075,0,0,0
