sub,trial,size,current,end,step,reset,tries,score,abstime,trialtime,clicktime,done
T0_4570_tol,1,3,|1|2|3|,|32||1|,0,0,1,0,7759,0,0,0
T0_4570_tol,1,3,|1|23||,|32||1|,1,0,1,0,12105,4346,4346,0
T0_4570_tol,1,3,||23|1|,|32||1|,2,0,1,0,13779,6020,1674,0
T0_4570_tol,1,3,|3|2|1|,|32||1|,3,0,1,0,16277,8518,2498,0
T0_4570_tol,1,3,|32||1|,|32||1|,4,0,1,3,17117,9358,840,1
T0_4570_tol,2,3,|1|2|3|,|3|1|2|,0,0,1,3,22466,0,0,0
T0_4570_tol,2,3,|13|2||,|3|1|2|,1,0,1,3,26223,3757,3757,0
T0_4570_tol,2,3,|13||2|,|3|1|2|,2,0,1,3,27103,4637,880,0
T0_4570_tol,2,3,|1|3|2|,|3|1|2|,3,0,1,3,28413,5947,1310,0
T0_4570_tol,2,3,||31|2|,|3|1|2|,4,0,1,3,29118,6652,705,0
T0_4570_tol,2,3,||3|21|,|3|1|2|,5,0,1,3,30148,7682,1030,0
T0_4570_tol,2,3,|3||21|,|3|1|2|,6,0,1,3,31046,8580,898,0
T0_4570_tol,2,3,|3|1|2|,|3|1|2|,7,0,1,6,32190,9724,1144,1
T0_4570_tol,3,3,|1|3|2|,|31||2|,0,0,1,6,33225,0,0,0
T0_4570_tol,3,3,||3|21|,|31||2|,1,0,1,6,36977,3752,3752,0
T0_4570_tol,3,3,|3||21|,|31||2|,2,0,1,6,37908,4683,931,0
T0_4570_tol,3,3,|31||2|,|31||2|,3,0,1,9,38845,5620,937,1
T0_4570_tol,4,3,|2|13||,||12|3|,0,0,1,9,39574,0,0,0
T0_4570_tol,4,3,|2|1|3|,||12|3|,1,0,1,9,41510,1936,1936,0
T0_4570_tol,4,3,|2|1|3|,||12|3|,2,0,1,9,42290,2716,780,0
T0_4570_tol,4,3,||12|3|,||12|3|,3,0,1,12,43175,3601,885,1
T0_4570_tol,5,3,|||312|,|21||3|,0,0,1,12,44025,0,0,0
T0_4570_tol,5,3,|2||31|,|21||3|,1,0,1,12,50790,6765,6765,0
T0_4570_tol,5,3,|21||3|,|21||3|,2,0,1,15,52066,8041,1276,1
T0_4570_tol,6,3,|2|13||,|23||1|,0,0,1,15,52778,0,0,0
T0_4570_tol,6,3,|23|1||,|23||1|,1,0,1,15,55325,2547,2547,0
T0_4570_tol,6,3,|23||1|,|23||1|,2,0,1,18,56073,3295,748,1
T0_4570_tol,7,3,||1|32|,||132||,0,0,1,18,56776,0,0,0
T0_4570_tol,7,3,|2|1|3|,||132||,1,0,1,18,59886,3110,3110,0
T0_4570_tol,7,3,|2|13||,||132||,2,0,1,18,60689,3913,803,0
T0_4570_tol,7,3,||132||,||132||,3,0,1,21,61534,4758,845,1
