sub,trial,size,current,end,step,reset,tries,score,abstime,trialtime,clicktime,done
T1_4574_tol,1,3,|31|2||,|2|13||,0,0,1,0,36538,0,0,0
T1_4574_tol,1,3,|3|2|1|,|2|13||,1,0,1,0,41634,5096,5096,0
T1_4574_tol,1,3,||2|13|,|2|13||,2,0,1,0,43942,7404,2308,0
T1_4574_tol,1,3,|2||13|,|2|13||,3,0,1,0,45028,8490,1086,0
T1_4574_tol,1,3,|2|3|1|,|2|13||,4,0,1,0,46030,9492,1002,0
T1_4574_tol,1,3,|2|31||,|2|13||,5,0,1,0,47247,10709,1217,0
T1_4574_tol,1,3,|2|3|1|,|2|13||,6,0,1,0,50613,14075,3366,0
T1_4574_tol,1,3,|23||1|,|2|13||,7,0,1,0,51660,15122,1047,0
T1_4574_tol,1,3,|23|1||,|2|13||,8,0,1,0,52711,16173,1051,0
T1_4574_tol,1,3,|2|13||,|2|13||,9,0,1,3,53706,17168,995,1
T1_4574_tol,2,3,|2|1|3|,|3|2|1|,0,0,1,3,56056,0,0,0
T1_4574_tol,2,3,|23|1||,|3|2|1|,1,0,1,3,59079,3023,3023,0
T1_4574_tol,2,3,|23||1|,|3|2|1|,2,0,1,3,60600,4544,1521,0
T1_4574_tol,2,3,|2||13|,|3|2|1|,3,0,1,3,61606,5550,1006,0
T1_4574_tol,2,3,||2|13|,|3|2|1|,4,0,1,3,62522,6466,916,0
T1_4574_tol,2,3,|3|2|1|,|3|2|1|,5,0,1,6,63738,7682,1216,1
T1_4574_tol,3,3,|13|2||,|||321|,0,0,1,6,65778,0,0,0
T1_4574_tol,3,3,|1|2|3|,|||321|,1,0,1,6,68357,2579,2579,0
T1_4574_tol,3,3,|1||32|,|||321|,2,0,1,6,69169,3391,812,0
T1_4574_tol,3,3,|||321|,|||321|,3,0,1,9,70161,4383,992,1
T1_4574_tol,4,3,|1|23||,||2|31|,0,0,1,9,71190,0,0,0
T1_4574_tol,4,3,|1|2|3|,||2|31|,1,0,1,9,73067,1877,1877,0
T1_4574_tol,4,3,||2|31|,||2|31|,2,0,1,12,74041,2851,974,1
T1_4574_tol,5,3,||1|32|,|1|2|3|,0,0,1,12,74489,0,0,0
T1_4574_tol,5,3,|2|1|3|,|1|2|3|,1,0,1,12,78438,3949,3949,0
T1_4574_tol,5,3,|2||31|,|1|2|3|,2,0,1,12,79515,5026,1077,0
T1_4574_tol,5,3,||2|31|,|1|2|3|,3,0,1,12,80430,5941,915,0
T1_4574_tol,5,3,|1|2|3|,|1|2|3|,4,0,1,15,81658,7169,1228,1
T1_4574_tol,6,3,|21|3||,|1||32|,0,0,1,15,82386,0,0,0
T1_4574_tol,6,3,|21||3|,|1||32|,1,0,1,15,84257,1871,1871,0
T1_4574_tol,6,3,|2|1|3|,|1||32|,2,0,1,15,85458,3072,1201,0
T1_4574_tol,6,3,||1|32|,|1||32|,3,0,1,15,86469,4083,1011,0
T1_4574_tol,6,3,|1||32|,|1||32|,4,0,1,18,87359,4973,890,1
T1_4574_tol,7,3,||231||,|21|3||,0,0,1,18,88575,0,0,0
T1_4574_tol,7,3,||23|1|,|21|3||,1,0,1,18,90878,2303,2303,0
T1_4574_tol,7,3,||2|13|,|21|3||,2,0,1,18,91851,3276,973,0
T1_4574_tol,7,3,|2||13|,|21|3||,3,0,1,18,92650,4075,799,0
T1_4574_tol,7,3,|2|3|1|,|21|3||,4,0,1,18,93528,4953,878,0
T1_4574_tol,7,3,|21|3||,|21|3||,5,0,1,21,94335,5760,807,1
T1_4574_tol,8,3,|12||3|,||2|13|,0,0,1,21,94735,0,0,0
T1_4574_tol,8,3,|1|2|3|,||2|13|,1,0,1,21,96264,1529,1529,0
T1_4574_tol,8,3,|1|23||,||2|13|,2,0,1,21,97249,2514,985,0
T1_4574_tol,8,3,||23|1|,||2|13|,3,0,1,21,98239,3504,990,0
T1_4574_tol,8,3,||2|13|,||2|13|,4,0,1,24,99014,4279,775,1
T1_4574_tol,9,4,|2|3|41|,|23||14|,0,0,1,24,99492,0,0,0
T1_4574_tol,9,4,|23||41|,|23||14|,1,0,1,24,101542,2050,2050,0
T1_4574_tol,9,4,|231||4|,|23||14|,2,0,1,24,103399,3907,1857,0
T1_4574_tol,9,4,|231|4||,|23||14|,3,0,1,24,104233,4741,834,0
T1_4574_tol,9,4,|23|4|1|,|23||14|,4,0,1,24,105052,5560,819,0
T1_4574_tol,9,4,|23||14|,|23||14|,5,0,1,27,105823,6331,771,1
T1_4574_tol,10,4,|43||12|,|3241|||,0,0,1,27,106593,0,0,0
T1_4574_tol,10,4,|4|3|12|,|3241|||,1,0,1,27,110256,3663,3663,0
T1_4574_tol,10,4,||3|124|,|3241|||,2,0,1,27,111226,4633,970,0
T1_4574_tol,10,4,|3||124|,|3241|||,3,0,1,27,112018,5425,792,0
T1_4574_tol,10,4,|3|4|12|,|3241|||,4,0,1,27,112882,6289,864,0
T1_4574_tol,10,4,|32|4|1|,|3241|||,5,0,1,27,113774,7181,892,0
T1_4574_tol,10,4,|324||1|,|3241|||,6,0,1,27,114535,7942,761,0
T1_4574_tol,10,4,|3241|||,|3241|||,7,0,1,30,115423,8830,888,1
T1_4574_tol,11,4,|241||3|,|24||31|,0,0,1,30,116382,0,0,0
T1_4574_tol,11,4,|24||31|,|24||31|,1,0,1,33,118726,2344,2344,1
T1_4574_tol,12,4,|||4231|,|132|4||,0,0,1,33,119312,0,0,0
T1_4574_tol,12,4,|1||423|,|132|4||,1,0,1,33,121693,2381,2381,0
T1_4574_tol,12,4,|13||42|,|132|4||,2,0,1,33,122755,3443,1062,0
T1_4574_tol,12,4,|132||4|,|132|4||,3,0,1,33,123878,4566,1123,0
T1_4574_tol,12,4,|132|4||,|132|4||,4,0,1,36,124668,5356,790,1
T1_4574_tol,13,4,|3||421|,|2|41|3|,0,0,1,36,125310,0,0,0
T1_4574_tol,13,4,|3|1|42|,|2|41|3|,1,0,1,36,131423,6113,6113,0
