teste,total_movimentos,tempo_total_ms,trials_completos,movimentos_por_trial,tempo_medio_por_trial,tempo_por_movimento,num_tentativas,total_movimentos_minimos,eficiencia_movimentos
T0,159,291128.0,24,6.62,12130.33,1830.99,0,140.0,0.88
T1,152,247765.0,24,6.33,10323.54,1630.03,0,133.0,0.88
T2,140,221059.0,24,5.83,9210.79,1578.99,0,130.0,0.93
