sub,trial,size,current,end,step,reset,tries,score,abstime,trialtime,clicktime,done,movimentos_minimos,pontuacao_acumulada
T2_4572_tol,1,3,|2|1|3|,||21|3|,0,0,1,0,37830,0,0,0,0,0
T2_4572_tol,1,3,||12|3|,||21|3|,1,0,1,0,39824,1994,1994,0,0,0
T2_4572_tol,1,3,||1|32|,||21|3|,2,0,1,0,41768,3938,1944,0,0,0
T2_4572_tol,1,3,|1||32|,||21|3|,3,0,1,0,42752,4922,984,0,0,0
T2_4572_tol,1,3,|1|2|3|,||21|3|,4,0,1,0,43622,5792,870,0,0,0
T2_4572_tol,1,3,||21|3|,||21|3|,5,0,1,3,44223,6393,601,1,3,8
T2_4572_tol,2,3,|||321|,|3|2|1|,0,0,1,3,45715,0,0,0,0,8
T2_4572_tol,2,3,||1|32|,|3|2|1|,1,0,1,3,49011,3296,3296,0,0,8
T2_4572_tol,2,3,||12|3|,|3|2|1|,2,0,1,3,50670,4955,1659,0,0,8
T2_4572_tol,2,3,|3|12||,|3|2|1|,3,0,1,3,51270,5555,600,0,0,8
T2_4572_tol,2,3,|32|1||,|3|2|1|,4,0,1,3,52353,6638,1083,0,0,8
T2_4572_tol,2,3,|32||1|,|3|2|1|,5,0,1,3,53049,7334,696,0,0,8
T2_4572_tol,2,3,|3|2|1|,|3|2|1|,6,0,1,6,53824,8109,775,1,5,17
T2_4572_tol,3,3,||1|32|,|3|12||,0,0,1,6,54485,0,0,0,0,17
T2_4572_tol,3,3,||12|3|,|3|12||,1,0,1,6,56236,1751,1751,0,0,17
T2_4572_tol,3,3,|3|12||,|3|12||,2,0,1,9,57037,2552,801,1,2,27
T2_4572_tol,4,3,|32||1|,|2|1|3|,0,0,1,9,57639,0,0,0,0,27
T2_4572_tol,4,3,|32|1||,|2|1|3|,1,0,1,9,59494,1855,1855,0,0,27
T2_4572_tol,4,3,|3|12||,|2|1|3|,2,0,1,9,60584,2945,1090,0,0,27
T2_4572_tol,4,3,||12|3|,|2|1|3|,3,0,1,9,61222,3583,638,0,0,27
T2_4572_tol,4,3,|2|1|3|,|2|1|3|,4,0,1,12,62897,5258,1675,1,4,37
T2_4572_tol,5,3,|3|1|2|,|||312|,0,0,1,12,63501,0,0,0,0,37
T2_4572_tol,5,3,|3|12||,|||312|,1,0,1,12,65447,1946,1946,0,0,37
T2_4572_tol,5,3,||12|3|,|||312|,2,0,1,12,66272,2771,825,0,0,37
T2_4572_tol,5,3,|2|1|3|,|||312|,3,0,1,12,67084,3583,812,0,0,37
T2_4572_tol,5,3,|2||31|,|||312|,4,0,1,12,67844,4343,760,0,0,37
T2_4572_tol,5,3,|||312|,|||312|,5,0,1,15,68545,5044,701,1,5,47
T2_4572_tol,6,3,|1|3|2|,|31||2|,0,0,1,15,69138,0,0,0,0,47
T2_4572_tol,6,3,||3|21|,|31||2|,1,0,1,15,71242,2104,2104,0,0,47
T2_4572_tol,6,3,|3||21|,|31||2|,2,0,1,15,72004,2866,762,0,0,47
T2_4572_tol,6,3,|31||2|,|31||2|,3,0,1,18,73318,4180,1314,1,3,57
T2_4572_tol,7,3,|3|12||,||23|1|,0,0,1,18,74020,0,0,0,0,57
T2_4572_tol,7,3,|32|1||,||23|1|,1,0,1,18,75673,1653,1653,0,0,57
T2_4572_tol,7,3,|32||1|,||23|1|,2,0,1,18,76366,2346,693,0,0,57
T2_4572_tol,7,3,|3|2|1|,||23|1|,3,0,1,18,77187,3167,821,0,0,57
T2_4572_tol,7,3,||23|1|,||23|1|,4,0,1,21,78044,4024,857,1,4,67
T2_4572_tol,8,3,||3|21|,|13|2||,0,0,1,21,78727,0,0,0,0,67
T2_4572_tol,8,3,|1|3|2|,|13|2||,1,0,1,21,81958,3231,3231,0,0,67
T2_4572_tol,8,3,|13||2|,|13|2||,2,0,1,21,82563,3836,605,0,0,67
T2_4572_tol,8,3,|13|2||,|13|2||,3,0,1,24,83215,4488,652,1,3,77
T2_4572_tol,9,4,|3||421|,|24|1|3|,0,0,1,24,83816,0,0,0,0,77
T2_4572_tol,9,4,|3||421|,|24|1|3|,1,0,1,24,90526,6710,6710,0,0,77
T2_4572_tol,9,4,|3|1|42|,|24|1|3|,2,0,1,24,91360,7544,834,0,0,77
