sub,trial,size,current,end,step,reset,tries,score,abstime,trialtime,clicktime,done,movimentos_minimos,pontuacao_acumulada
T2_4588_tol,1,3,|23|1||,||2|13|,0,0,1,0,5451,0,0,0,0,0
T2_4588_tol,1,3,|23||1|,||2|13|,1,0,1,0,8876,3425,3425,0,0,0
T2_4588_tol,1,3,|2||13|,||2|13|,2,0,1,0,10981,5530,2105,0,0,0
T2_4588_tol,1,3,||2|13|,||2|13|,3,0,1,3,12326,6875,1345,1,3,10
T2_4588_tol,2,3,||13|2|,|3|1|2|,0,0,1,3,13234,0,0,0,0,10
T2_4588_tol,2,3,|3|1|2|,|3|1|2|,1,0,1,6,16263,3029,3029,1,1,20
T2_4588_tol,3,3,|2||31|,|2|3|1|,0,0,1,6,17041,0,0,0,0,20
T2_4588_tol,3,3,|21||3|,|2|3|1|,1,0,1,6,20385,3344,3344,0,0,20
T2_4588_tol,3,3,|21|3||,|2|3|1|,2,0,1,6,21471,4430,1086,0,0,20
T2_4588_tol,3,3,|2|3|1|,|2|3|1|,3,0,1,9,22890,5849,1419,1,3,30
T2_4588_tol,4,3,|||321|,||23|1|,0,0,1,9,23801,0,0,0,0,30
T2_4588_tol,4,3,|1||32|,||23|1|,1,0,1,9,27677,3876,3876,0,0,30
T2_4588_tol,4,3,|1|2|3|,||23|1|,2,0,1,9,29181,5380,1504,0,0,30
T2_4588_tol,4,3,|1|23||,||23|1|,3,0,1,9,30195,6394,1014,0,0,30
T2_4588_tol,4,3,||23|1|,||23|1|,4,0,1,12,31230,7429,1035,1,4,40
T2_4588_tol,5,3,||23|1|,|3|2|1|,0,0,1,12,31964,0,0,0,0,40
T2_4588_tol,5,3,|3|2|1|,|3|2|1|,1,0,1,15,37891,5927,5927,1,1,50
T2_4588_tol,6,3,||23|1|,|2|1|3|,0,0,1,15,38755,0,0,0,0,50
T2_4588_tol,6,3,|1|23||,|2|1|3|,1,0,1,15,42113,3358,3358,0,0,50
T2_4588_tol,6,3,|1|2|3|,|2|1|3|,2,0,1,15,43477,4722,1364,0,0,50
T2_4588_tol,6,3,|1||32|,|2|1|3|,3,0,1,15,45110,6355,1633,0,0,50
T2_4588_tol,6,3,||1|32|,|2|1|3|,4,0,1,15,46209,7454,1099,0,0,50
T2_4588_tol,6,3,|2|1|3|,|2|1|3|,5,0,1,18,47240,8485,1031,1,5,60
T2_4588_tol,7,3,|2|1|3|,||1|32|,0,0,1,18,47782,0,0,0,0,60
T2_4588_tol,7,3,||1|32|,||1|32|,1,0,1,21,50572,2790,2790,1,1,70
T2_4588_tol,8,3,|1|2|3|,||3|12|,0,0,1,21,51267,0,0,0,0,70
T2_4588_tol,8,3,|12||3|,||3|12|,1,0,1,21,56079,4812,4812,0,0,70
T2_4588_tol,8,3,|12|3||,||3|12|,2,0,1,21,57116,5849,1037,0,0,70
T2_4588_tol,8,3,|1|32||,||3|12|,3,0,1,21,58453,7186,1337,0,0,70
T2_4588_tol,8,3,||32|1|,||3|12|,4,0,1,21,59470,8203,1017,0,0,70
T2_4588_tol,8,3,||3|12|,||3|12|,5,0,1,24,60409,9142,939,1,5,80
T2_4588_tol,9,4,|3|21|4|,|13|4|2|,0,0,1,24,61033,0,0,0,0,80
T2_4588_tol,9,4,|31|2|4|,|13|4|2|,1,0,1,24,64737,3704,3704,0,0,80
T2_4588_tol,9,4,|312||4|,|13|4|2|,2,0,1,24,66210,5177,1473,0,0,80
T2_4588_tol,9,4,|312|4||,|13|4|2|,3,0,1,24,67240,6207,1030,0,0,80
T2_4588_tol,9,4,|31|4|2|,|13|4|2|,4,0,1,24,68344,7311,1104,0,0,80
T2_4588_tol,9,4,|3|4|21|,|13|4|2|,5,0,1,24,71951,10918,3607,0,0,80
T2_4588_tol,9,4,||43|21|,|13|4|2|,6,0,1,24,73933,12900,1982,0,0,80
T2_4588_tol,9,4,|1|43|2|,|13|4|2|,7,0,1,24,74962,13929,1029,0,0,80
T2_4588_tol,9,4,|13|4|2|,|13|4|2|,8,0,1,27,75958,14925,996,1,6,88
T2_4588_tol,10,4,|14||23|,||1|324|,0,0,1,27,76748,0,0,0,0,88
T2_4588_tol,10,4,|14|3|2|,||1|324|,1,0,1,27,80452,3704,3704,0,0,88
T2_4588_tol,10,4,|142|3||,||1|324|,2,0,1,27,82648,5900,2196,0,0,88
T2_4588_tol,10,4,|142||3|,||1|324|,3,0,1,27,83729,6981,1081,0,0,88
